Feature,Importance
followers_count,0.14232954
favourites_count,0.110021815
geo_enabled,0.07198271
account_age_days,0.06567135
friends_count,0.064673886
favourites_per_day,0.05749007
has_description,0.052986253
statuses_count,0.05131566
tweets_per_day,0.041924875
has_profile_banner,0.04039423
has_location,0.037398536
followers_friends_ratio,0.03439626
has_default_bg_theme,0.02763258
default_profile,0.026767261
lang_cat_en,0.025493095
lang_cat_other,0.023842707
has_extended_profile,0.02311646
has_added_url,0.0218142
lang_cat_pt,0.021748457
profile_use_background_image,0.021423096
profile_background_tile,0.021170484
lang_cat_es,0.016406523
